REQUEST	RESPONSE	HTTP STATUS
Orient Paper	[{"url":"/company/ORIENTPPR/","id":2355,"name":"Orient Paper & Industries Ltd"}]	200
Karnataka Bank	[{"url":"/company/KTKBANK/","id":1722,"name":"Karnataka Bank Ltd"}]	200
CIL Nova Petro	[{"url":"/company/CNOVAPETRO/","id":653,"name":"CIL Nova Petrochemicals Ltd"}]	200
Crest Ventures	[{"url":"/company/CREST/consolidated/","id":2966,"name":"Crest Ventures Ltd"}]	200
Sintex Ind	[{"url":"/company/SINTEX/consolidated/","id":3087,"name":"Sintex Industries Ltd"}]	200
Anjani Cement	[]	200
Polson	[{"url":"/company/507645/","id":2506,"name":"Polson Ltd"}]	200
Sun Pharma Adv	[{"url":"/company/SPARC/","id":3244,"name":"Sun Pharma Advanced Research Company Ltd"}]	200
Fortune Fin Ser	[]	200
BN Rathi Sec	[]	200
JMC Projects	[{"url":"/company/JMCPROJECT/consolidated/","id":1638,"name":"JMC Projects (India) Ltd"}]	200
Ashima	[{"url":"/company/ASHIMASYN/","id":275,"name":"Ashima Ltd"}]	200
ILandFS Trans	[]	200
Universal Cable	[{"url":"/company/UNIVCABLES/consolidated/","id":3560,"name":"Universal Cables Ltd"}]	200
Deccan Gold	[{"url":"/company/512068/","id":780,"name":"Deccan Gold Mines Ltd"}]	200
Vascon Engineer	[{"url":"/company/VASCONEQ/consolidated/","id":3617,"name":"Vascon Engineers Ltd"}]	200
Mack Trading	[{"url":"/company/501471/consolidated/","id":1939,"name":"Mack Trading Co Ltd"}]	200
Zee Media	[{"url":"/company/ZEEMEDIA/consolidated/","id":3790,"name":"Zee Media Corporation Ltd"}]	200
GMR Infra	[{"url":"/company/GMRINFRA/consolidated/","id":1159,"name":"GMR Infrastructure Ltd"}]	200
State Bk Travan	[]	200
Can Fin Homes	[{"url":"/company/CANFINHOME/","id":578,"name":"Can Fin Homes Ltd"}]	200
Yash Trading	[{"url":"/company/512345/","id":3780,"name":"Yash Trading & Finance Ltd"}]	200
Tumus Electric	[{"url":"/company/504273/","id":1267825,"name":"Tumus Electric Corporation Ltd"}]	200
Channel Nine	[{"url":"/company/535142/","id":347944,"name":"Channel Nine Entertainment Ltd"}]	200
Future Ent	[{"url":"/company/FEL/","id":2404,"name":"Future Enterprises Ltd"},{"url":"/company/FELDVR/","id":1270588,"name":"Future Enterprises-DVR"}]	200
Future Ent DVR	[]	200
Future Ent DVR	[]	200
Future Ent	[{"url":"/company/FEL/","id":2404,"name":"Future Enterprises Ltd"},{"url":"/company/FELDVR/","id":1270588,"name":"Future Enterprises-DVR"}]	200
Esteem Bio	[{"url":"/company/534927/","id":305987,"name":"Esteem Bio Organic Food Processing Ltd"}]	200
Kalyanpur Cem	[{"url":"/company/502150/","id":1699,"name":"Kalyanpur Cements Ltd"}]	200
NCC	[{"url":"/company/531452/","id":2220,"name":"NCC Finance Ltd"},{"url":"/company/NCC/consolidated/","id":2221,"name":"NCC Ltd"},{"url":"/company/519506/","id":1268835,"name":"NCC Blue Water Products Ltd"}]	200
Neuland Lab	[{"url":"/company/NEULANDLAB/","id":2244,"name":"Neuland Laboratories Ltd"}]	200
Lakshmi Vilas	[{"url":"/company/LAKSHVILAS/","id":1863,"name":"Lakshmi Vilas Bank Ltd"}]	200
Indian Hotels	[{"url":"/company/INDHOTEL/consolidated/","id":1443,"name":"Indian Hotels Co Ltd"}]	200
Ramco System	[{"url":"/company/RAMCOSYS/consolidated/","id":2660,"name":"Ramco Systems Ltd"}]	200
Eco Friendly	[{"url":"/company/534839/","id":199864,"name":"Eco Friendly Food Processing Park Ltd"}]	200
Denis Chem Lab	[{"url":"/company/537536/","id":811692,"name":"Denis Chem Lab Ltd"}]	200
Tata Power	[{"url":"/company/TATAPOWER/consolidated/","id":3371,"name":"Tata Power Company Ltd"}]	200
Golden Goenka	[{"url":"/company/530579/","id":1174,"name":"Golden Goenka Fincorp Ltd"}]	200
ILandFS Trans	[]	200
Easun Reyrl	[]	200
Wheels	[{"url":"/company/WHEELS/","id":3751,"name":"Wheels India Ltd"},{"url":"/company/533477/","id":936,"name":"Enkei Wheels India Ltd"},{"url":"/company/SSWL/","id":3196,"name":"Steel Strips Wheels Ltd"}]	200
Mukand	[{"url":"/company/MUKANDENGG/","id":2148,"name":"Mukand Engineers Ltd"},{"url":"/company/MUKANDLTD/","id":2149,"name":"Mukand Ltd"}]	200
Coromandel Engg	[{"url":"/company/533167/","id":714,"name":"Coromandel Engineering Company Ltd"}]	200
Uniphos Ent	[{"url":"/company/UNIENTER/","id":3538,"name":"Uniphos Enterprises Ltd"}]	200
Waterbase	[{"url":"/company/523660/","id":3729,"name":"Waterbase Ltd"}]	200
Godrej Prop	[{"url":"/company/GODREJPROP/consolidated/","id":98066,"name":"Godrej Properties Ltd"}]	200
Kokuyo Camlin	[{"url":"/company/KOKUYOCMLN/","id":1812,"name":"Kokuyo Camlin Ltd"}]	200
Reliance Media	[{"url":"/company/RELMEDIA/consolidated/","id":2728,"name":"Reliance MediaWorks Ltd"}]	200
Dalal Street	[{"url":"/company/501148/","id":761,"name":"Dalal Street Investments Ltd"}]	200
Kesoram	[{"url":"/company/KESORAMIND/consolidated/","id":1755,"name":"Kesoram Industries Ltd"}]	200
Media Matrix	[{"url":"/company/512267/consolidated/","id":2048,"name":"Media Matrix Worldwide Ltd"},{"url":"/company/531782/","id":1269975,"name":"Oasis Media Matrix Ltd"}]	200
Johnson Control	[{"url":"/company/JCHAC/","id":1361,"name":"Johnson Controls-Hitachi Air Condition. India Ltd"}]	200
Alok Industries	[{"url":"/company/ALOKTEXT/","id":142,"name":"Alok Industries Ltd"}]	200
Bajaj Finance	[{"url":"/company/BAJFINANCE/","id":372,"name":"Bajaj Finance Ltd"}]	200
Bhushan	[{"url":"/company/BHUSANSTL/","id":475,"name":"Bhushan Steel Ltd"},{"url":"/company/511501/","id":454,"name":"Bharat Bhushan Finance & Commodity Brokers Ltd"},{"url":"/company/DPABHUSHAN/","id":1274183,"name":"D. P. Abhushan Ltd"}]	200
City Union Bank	[{"url":"/company/CUB/","id":667,"name":"City Union Bank Ltd"}]	200
TV18 Broadcast	[{"url":"/company/TV18BRDCST/consolidated/","id":3500,"name":"TV18 Broadcast Ltd"}]	200
EIH Assoc Hotel	[]	200
Network 18	[{"url":"/company/NETWORK18/consolidated/","id":2241,"name":"Network 18 Media & Investments Ltd"}]	200
Bajaj Finserv	[{"url":"/company/BAJAJFINSV/consolidated/","id":373,"name":"Bajaj Finserv Ltd"}]	200
Uttam Sugar	[{"url":"/company/UTTAMSUGAR/","id":3579,"name":"Uttam Sugar Mills Ltd"}]	200
Suditind	[]	200
Suditi Ind	[{"url":"/company/521113/","id":3231,"name":"Suditi Industries Ltd"}]	200
National Oxygen	[{"url":"/company/507813/","id":2207,"name":"National Oxygen Ltd"}]	200
EPC Industrie	[{"url":"/company/523754/","id":944,"name":"EPC Industrie Ltd"}]	200
Arihant Super	[{"url":"/company/ARIHANTSUP/consolidated/","id":240,"name":"Arihant Superstructures Ltd"}]	200
Neuland Lab	[{"url":"/company/NEULANDLAB/","id":2244,"name":"Neuland Laboratories Ltd"}]	200
LGB Forge	[{"url":"/company/LGBFORGE/","id":1882,"name":"LGB Forge Ltd"}]	200
Gayatri Project	[{"url":"/company/GAYAPROJ/consolidated/","id":1107,"name":"Gayatri Projects Ltd"}]	200
Arrow Greentech	[{"url":"/company/ARROWGREEN/consolidated/","id":250,"name":"Arrow Greentech Ltd"}]	200
Fame India	[{"url":"/company/FAME/consolidated/","id":994,"name":"Fame India Ltd(Merged)"}]	200
Aarey Drugs	[{"url":"/company/524412/","id":19,"name":"Aarey Drugs & Pharmaceuticals Ltd"}]	200
Veljan Denison	[{"url":"/company/505232/","id":3628,"name":"Veljan Denison Ltd"}]	200
